"id","day","classroom","times","created_at","updated_at"
21,"sabado","sj-013","Sa 13:01:00 - 14:20:00",2023-09-22 04:17:12,2023-09-22 04:17:12
22,"sabado","sj-013","Sa 11:31:00 - 12:10:00",2023-09-22 04:17:12,2023-09-22 04:17:12
23,"sabado","sj-013","Sa 10:01:00 - 11:20:00",2023-09-22 04:17:12,2023-09-22 04:17:12
24,"lunes","sj-013","Lu 17:31:00 - 18:50:00",2023-09-22 04:17:12,2023-09-22 04:17:12
25,"lunes","sj-013","Lu 16:41:00 - 17:20:00",2023-09-22 04:17:12,2023-09-22 04:17:12
26,"viernes","sj-013","Vi 20:31:00 - 21:10:00",2023-09-22 04:17:12,2023-09-22 04:17:12
27,"viernes","sj-013","Vi 19:01:00 - 20:20:00",2023-09-22 04:17:12,2023-09-22 04:17:12
28,"sabado","sj-013","Sa 14:31:00 - 15:50:00",2023-09-22 04:17:12,2023-09-22 04:17:12
29,"jueves","sj-806","Ju 11:31:00 - 12:50:00",2023-09-22 04:17:12,2023-09-22 04:17:12
30,"jueves","sj-806","Ju 10:01:00 - 11:20:00",2023-09-22 04:17:12,2023-09-22 04:17:12
31,"miercoles","sj-806","Mi 14:31:00 - 15:50:00",2023-09-22 04:17:12,2023-09-22 04:17:12
32,"jueves","sj-806","Ju 8:31:00 - 9:50:00",2023-09-22 04:17:12,2023-09-22 04:17:12
33,"miercoles","sj-806","Mi 8:31:00 - 9:50:00",2023-09-22 04:17:12,2023-09-22 04:17:12
34,"martes","sj-703","Ma 16:01:00 - 17:20:00",2023-09-22 04:17:12,2023-09-22 04:17:12
35,"martes","sj-609","Ma 11:31:00 - 12:50:00",2023-09-22 04:17:12,2023-09-22 04:17:12
36,"jueves","sj-602","Ju 13:01:00 - 14:20:00",2023-09-22 04:17:12,2023-09-22 04:17:12
37,"sabado","sj-602","Sa 13:01:00 - 14:20:00",2023-09-22 04:17:13,2023-09-22 04:17:13
38,"viernes","sj-601","Vi 10:01:00 - 11:20:00",2023-09-22 04:17:13,2023-09-22 04:17:13
39,"viernes","sj-601","Vi 13:01:00 - 14:20:00",2023-09-22 04:17:13,2023-09-22 04:17:13
40,"sabado","sj-502","Sa 11:31:00 - 12:50:00",2023-09-22 04:17:13,2023-09-22 04:17:13
41,"viernes","sj-502","Vi 19:01:00 - 20:20:00",2023-09-22 04:17:13,2023-09-22 04:17:13
42,"martes","sj-501","Ma 8:31:00 - 9:50:00",2023-09-22 04:17:13,2023-09-22 04:17:13
43,"viernes","sj-501","Vi 16:01:00 - 17:20:00",2023-09-22 04:17:13,2023-09-22 04:17:13
44,"miercoles","sj-501","Mi 13:01:00 - 14:20:00",2023-09-22 04:17:13,2023-09-22 04:17:13
45,"miercoles","sj-501","Mi 20:31:00 - 21:50:00",2023-09-22 04:17:13,2023-09-22 04:17:13
46,"jueves","sj-418","Ju 16:01:00 - 17:20:00",2023-09-22 04:17:13,2023-09-22 04:17:13
47,"martes","sj-202","Ma 14:31:00 - 15:10:00",2023-09-22 04:17:13,2023-09-22 04:17:13
48,"martes","sj-202","Ma 13:41:00 - 14:20:00",2023-09-22 04:17:13,2023-09-22 04:17:13
49,"lunes","sj-ltr","Lu 17:31:00 - 18:10:00",2023-09-22 04:17:13,2023-09-22 04:17:13
50,"lunes","sj-ltr","Lu 16:01:00 - 17:20:00",2023-09-22 04:17:13,2023-09-22 04:17:13
51,"lunes","sj-ltr","Lu 14:31:00 - 15:50:00",2023-09-22 04:17:13,2023-09-22 04:17:13
52,"viernes","sj-ltr","Vi 13:01:00 - 14:20:00",2023-09-22 04:17:13,2023-09-22 04:17:13
53,"miercoles","sj-lccna","Mi 10:01:00 - 11:20:00",2023-09-22 04:17:13,2023-09-22 04:17:13
54,"miercoles","sj-lccna","Mi 8:31:00 - 9:50:00",2023-09-22 04:17:13,2023-09-22 04:17:13
55,"jueves","sj-lccna","Ju 19:01:00 - 20:20:00",2023-09-22 04:17:13,2023-09-22 04:17:13
56,"sabado","sj-ltr","Sa 11:31:00 - 12:50:00",2023-09-22 04:17:13,2023-09-22 04:17:13
57,"miercoles","sj-l804","Mi 11:31:00 - 12:50:00",2023-09-22 04:17:13,2023-09-22 04:17:13
58,"viernes","sj-l7","Vi 16:01:00 - 16:40:00",2023-09-22 04:17:13,2023-09-22 04:17:13
59,"viernes","sj-l7","Vi 14:31:00 - 15:50:00",2023-09-22 04:17:13,2023-09-22 04:17:13
60,"viernes","sj-l3","Vi 10:01:00 - 10:40:00",2023-09-22 04:17:13,2023-09-22 04:17:13
61,"viernes","sj-l3","Vi 8:31:00 - 9:50:00",2023-09-22 04:17:13,2023-09-22 04:17:13
62,"martes","sj-l3","Ma 17:31:00 - 18:50:00",2023-09-22 04:17:13,2023-09-22 04:17:13
63,"martes","sj-l3","Ma 16:41:00 - 17:20:00",2023-09-22 04:17:13,2023-09-22 04:17:13
64,"martes","sj-l3","Ma 10:01:00 - 10:40:00",2023-09-22 04:17:13,2023-09-22 04:17:13
65,"martes","sj-l3","Ma 8:31:00 - 9:50:00",2023-09-22 04:17:13,2023-09-22 04:17:13
66,"viernes","sin-sala","Vi 11:31:00 - 12:10:00",2023-09-22 04:17:13,2023-09-22 04:17:13
67,"viernes","sin-sala","Vi 10:01:00 - 11:20:00",2023-09-22 04:17:13,2023-09-22 04:17:13
68,"viernes","sin-sala","Vi 8:31:00 - 9:50:00",2023-09-22 04:17:13,2023-09-22 04:17:13
69,"lunes","sin-sala","Lu 11:31:00 - 12:50:00",2023-09-22 04:17:13,2023-09-22 04:17:13
70,"lunes","sin-sala","Lu 10:01:00 - 11:20:00",2023-09-22 04:17:13,2023-09-22 04:17:13
71,"lunes","sin-sala","Lu 8:31:00 - 9:50:00",2023-09-22 04:17:13,2023-09-22 04:17:13
72,"jueves","sin-sala","Ju 11:31:00 - 12:10:00",2023-09-22 04:17:13,2023-09-22 04:17:13
73,"jueves","sin-sala","Ju 10:01:00 - 11:20:00",2023-09-22 04:17:13,2023-09-22 04:17:13
74,"jueves","sin-sala","Ju 8:31:00 - 9:50:00",2023-09-22 04:17:13,2023-09-22 04:17:13
75,"martes","sj-701","Ma 16:01:00 - 16:40:00",2023-09-22 04:17:13,2023-09-22 04:17:13
76,"martes","sj-701","Ma 14:31:00 - 15:50:00",2023-09-22 04:17:13,2023-09-22 04:17:13
77,"miercoles","sj-601","Mi 11:31:00 - 12:50:00",2023-09-22 04:17:13,2023-09-22 04:17:13
78,"martes","sj-506","Ma 13:01:00 - 14:20:00",2023-09-22 04:17:13,2023-09-22 04:17:13
79,"martes","sj-418","Ma 17:31:00 - 18:50:00",2023-09-22 04:17:13,2023-09-22 04:17:13
80,"martes","sj-418","Ma 16:41:00 - 17:20:00",2023-09-22 04:17:13,2023-09-22 04:17:13
81,"martes","sj-418","Ma 13:01:00 - 14:20:00",2023-09-22 04:17:13,2023-09-22 04:17:13
82,"miercoles","sj-418","Mi 13:01:00 - 14:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
83,"jueves","sj-417","Ju 13:01:00 - 14:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
84,"jueves","sj-417","Ju 11:31:00 - 12:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
85,"jueves","sj-417","Ju 10:01:00 - 11:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
86,"jueves","sj-417","Ju 8:31:00 - 9:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
87,"jueves","sj-416","Ju 17:31:00 - 18:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
88,"viernes","sj-416","Vi 11:31:00 - 12:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
89,"viernes","sj-412","Vi 13:01:00 - 14:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
90,"viernes","sj-412","Vi 10:01:00 - 11:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
91,"viernes","sj-412","Vi 8:31:00 - 9:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
92,"miercoles","sj-412","Mi 13:01:00 - 14:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
93,"miercoles","sj-412","Mi 11:31:00 - 12:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
94,"miercoles","sj-412","Mi 10:01:00 - 11:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
95,"miercoles","sj-412","Mi 8:31:00 - 9:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
96,"martes","sj-412","Ma 13:01:00 - 14:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
97,"martes","sj-412","Ma 11:31:00 - 12:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
98,"martes","sj-412","Ma 10:01:00 - 11:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
99,"martes","sj-412","Ma 8:31:00 - 9:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
100,"viernes","sj-211","Vi 16:01:00 - 16:40:00",2023-09-22 04:17:14,2023-09-22 04:17:14
101,"viernes","sj-211","Vi 14:31:00 - 15:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
102,"miercoles","sj-211","Mi 17:31:00 - 18:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
103,"miercoles","sj-211","Mi 16:41:00 - 17:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
104,"miercoles","sj-211","Mi 16:01:00 - 16:40:00",2023-09-22 04:17:14,2023-09-22 04:17:14
105,"miercoles","sj-211","Mi 14:31:00 - 15:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
106,"viernes","sj-204","Vi 13:01:00 - 14:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
107,"miercoles","sj-602","Mi 21:11:00 - 22:30:00",2023-09-22 04:17:14,2023-09-22 04:17:14
108,"lunes","sj-601","Lu 20:31:00 - 21:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
109,"viernes","sj-601","Vi 20:31:00 - 21:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
110,"jueves","sj-504","Ju 20:31:00 - 21:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
111,"sabado","sj-204","Sa 13:01:00 - 14:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
112,"sabado","sj-05a","Sa 10:01:00 - 11:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
113,"miercoles","sj-05a","Mi 19:01:00 - 20:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
114,"lunes","sj-05a","Lu 19:01:00 - 20:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
115,"jueves","sj-05a","Ju 19:01:00 - 20:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
116,"viernes","sj-05a","Vi 19:01:00 - 20:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
117,"martes","sj-05a","Ma 20:31:00 - 21:10:00",2023-09-22 04:17:14,2023-09-22 04:17:14
118,"martes","sj-05a","Ma 19:41:00 - 20:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
119,"sabado","sj-05a","Sa 14:31:00 - 15:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
120,"martes","sj-05a","Ma 21:11:00 - 22:30:00",2023-09-22 04:17:14,2023-09-22 04:17:14
121,"sabado","sj-05a","Sa 11:31:00 - 12:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
122,"jueves","sj-705","Ju 13:01:00 - 14:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
123,"lunes","sj-705","Lu 13:01:00 - 14:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
124,"jueves","sj-607","Ju 10:01:00 - 11:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
125,"martes","sj-607","Ma 10:01:00 - 11:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
126,"viernes","sj-605","Vi 16:01:00 - 17:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
127,"miercoles","sj-605","Mi 16:01:00 - 17:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
128,"martes","sj-605","Ma 16:01:00 - 17:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
129,"viernes","sj-605","Vi 10:01:00 - 11:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
130,"martes","sj-605","Ma 8:31:00 - 9:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
131,"jueves","sj-605","Ju 17:31:00 - 18:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
132,"martes","sj-605","Ma 17:31:00 - 18:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
133,"sabado","sj-508","Sa 8:31:00 - 9:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
134,"miercoles","sj-508","Mi 21:11:00 - 22:30:00",2023-09-22 04:17:14,2023-09-22 04:17:14
135,"viernes","sj-505","Vi 19:01:00 - 20:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
136,"miercoles","sj-505","Mi 19:01:00 - 20:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
137,"viernes","sj-505","Vi 13:01:00 - 14:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
138,"martes","sj-505","Ma 13:01:00 - 14:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
139,"jueves","sj-202","Ju 16:01:00 - 17:20:00",2023-09-22 04:17:14,2023-09-22 04:17:14
140,"jueves","sj-705","Ju 8:31:00 - 9:50:00",2023-09-22 04:17:14,2023-09-22 04:17:14
141,"lunes","sj-705","Lu 8:31:00 - 9:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
142,"viernes","sj-705","Vi 11:31:00 - 12:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
143,"jueves","sj-705","Ju 11:31:00 - 12:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
144,"miercoles","sj-705","Mi 11:31:00 - 12:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
145,"martes","sj-705","Ma 11:31:00 - 12:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
146,"miercoles","sj-705","Mi 10:01:00 - 11:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
147,"lunes","sj-705","Lu 10:01:00 - 11:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
148,"viernes","sj-606","Vi 10:01:00 - 11:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
149,"lunes","sj-606","Lu 11:31:00 - 12:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
150,"jueves","sj-606","Ju 10:01:00 - 11:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
151,"martes","sj-606","Ma 10:01:00 - 11:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
152,"jueves","sj-505","Ju 16:01:00 - 17:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
153,"martes","sj-505","Ma 16:01:00 - 17:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
154,"martes","sj-l2","Ma 19:01:00 - 20:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
155,"miercoles","sj-709","Mi 14:31:00 - 15:10:00",2023-09-22 04:17:15,2023-09-22 04:17:15
156,"miercoles","sj-709","Mi 13:01:00 - 14:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
157,"viernes","sj-709","Vi 19:01:00 - 20:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
158,"martes","sj-703","Ma 10:01:00 - 10:40:00",2023-09-22 04:17:15,2023-09-22 04:17:15
159,"martes","sj-703","Ma 8:31:00 - 9:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
160,"miercoles","sj-703","Mi 10:01:00 - 11:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
161,"miercoles","sj-703","Mi 19:01:00 - 20:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
162,"martes","sj-703","Ma 11:31:00 - 12:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
163,"martes","sj-701","Ma 20:31:00 - 21:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
164,"miercoles","sj-607","Mi 20:31:00 - 21:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
165,"lunes","sj-604","Lu 17:31:00 - 18:10:00",2023-09-22 04:17:15,2023-09-22 04:17:15
166,"lunes","sj-604","Lu 16:01:00 - 17:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
167,"miercoles","sj-604","Mi 17:31:00 - 18:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
168,"martes","sj-604","Ma 17:31:00 - 18:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
169,"lunes","sj-604","Lu 19:01:00 - 20:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
170,"viernes","sj-505","Vi 20:31:00 - 21:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
171,"viernes","sj-314","Vi 17:31:00 - 18:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
172,"martes","sj-304","Ma 14:31:00 - 15:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
173,"martes","sj-304","Ma 13:41:00 - 14:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
174,"miercoles","sj-202","Mi 15:11:00 - 16:40:00",2023-09-22 04:17:15,2023-09-22 04:17:15
175,"viernes","sj-608","Vi 17:31:00 - 18:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
176,"lunes","sj-417","Lu 17:31:00 - 18:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
177,"lunes","sj-417","Lu 16:41:00 - 17:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
178,"lunes","sj-417","Lu 16:01:00 - 16:40:00",2023-09-22 04:17:15,2023-09-22 04:17:15
179,"lunes","sj-417","Lu 14:31:00 - 15:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
180,"viernes","sj-417","Vi 16:01:00 - 16:40:00",2023-09-22 04:17:15,2023-09-22 04:17:15
181,"viernes","sj-417","Vi 14:31:00 - 15:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
182,"lunes","sj-404","Lu 13:01:00 - 14:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
183,"lunes","sj-404","Lu 11:31:00 - 12:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
184,"lunes","sj-404","Lu 10:01:00 - 11:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
185,"lunes","sj-404","Lu 8:31:00 - 9:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
186,"viernes","sj-404","Vi 13:01:00 - 14:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
187,"viernes","sj-404","Vi 11:31:00 - 12:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
188,"viernes","sj-404","Vi 10:01:00 - 11:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
189,"viernes","sj-404","Vi 8:31:00 - 9:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
190,"miercoles","sin-sala","Mi 10:01:00 - 10:40:00",2023-09-22 04:17:15,2023-09-22 04:17:15
191,"miercoles","sin-sala","Mi 8:31:00 - 9:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
192,"martes","sin-sala","Ma 11:31:00 - 12:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
193,"martes","sin-sala","Ma 10:41:00 - 11:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
194,"lunes","sin-sala","Lu 17:31:00 - 18:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
195,"lunes","sin-sala","Lu 16:41:00 - 17:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
196,"lunes","sin-sala","Lu 10:01:00 - 10:40:00",2023-09-22 04:17:15,2023-09-22 04:17:15
197,"jueves","sin-sala","Ju 11:31:00 - 12:50:00",2023-09-22 04:17:15,2023-09-22 04:17:15
198,"jueves","sin-sala","Ju 10:41:00 - 11:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
199,"viernes","sj-708","Vi 19:01:00 - 20:20:00",2023-09-22 04:17:15,2023-09-22 04:17:15
200,"miercoles","sj-708","Mi 19:01:00 - 20:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
201,"miercoles","sj-608","Mi 17:31:00 - 18:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
202,"lunes","sj-608","Lu 17:31:00 - 18:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
203,"sabado","sj-606","Sa 8:31:00 - 9:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
204,"jueves","sj-606","Ju 19:01:00 - 20:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
205,"martes","sj-606","Ma 19:01:00 - 20:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
206,"lunes","sj-606","Lu 19:01:00 - 20:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
207,"jueves","sj-510","Ju 20:31:00 - 21:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
208,"lunes","sj-510","Lu 20:31:00 - 21:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
209,"viernes","sj-510","Vi 14:31:00 - 15:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
210,"martes","sj-510","Ma 14:31:00 - 15:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
211,"viernes","sj-508","Vi 13:01:00 - 14:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
212,"martes","sj-508","Ma 13:01:00 - 14:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
213,"sabado","sj-505","Sa 10:01:00 - 11:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
214,"martes","sj-505","Ma 20:31:00 - 21:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
215,"miercoles","sin-sala","Mi 11:31:00 - 12:10:00",2023-09-22 04:17:16,2023-09-22 04:17:16
216,"miercoles","sin-sala","Mi 10:01:00 - 11:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
217,"martes","sin-sala","Ma 10:01:00 - 11:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
218,"martes","sin-sala","Ma 8:31:00 - 9:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
219,"lunes","sj-418","Lu 10:01:00 - 10:40:00",2023-09-22 04:17:16,2023-09-22 04:17:16
220,"lunes","sj-418","Lu 8:31:00 - 9:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
221,"lunes","sj-418","Lu 11:31:00 - 12:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
222,"lunes","sj-418","Lu 10:41:00 - 11:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
223,"lunes","sj-416","Lu 13:01:00 - 14:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
224,"jueves","sj-416","Ju 16:01:00 - 17:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
225,"jueves","sj-416","Ju 14:31:00 - 15:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
226,"jueves","sj-415","Ju 11:31:00 - 12:10:00",2023-09-22 04:17:16,2023-09-22 04:17:16
227,"jueves","sj-415","Ju 10:41:00 - 11:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
228,"jueves","sj-415","Ju 10:01:00 - 10:40:00",2023-09-22 04:17:16,2023-09-22 04:17:16
229,"jueves","sj-415","Ju 8:31:00 - 9:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
230,"jueves","sj-412","Ju 13:01:00 - 13:40:00",2023-09-22 04:17:16,2023-09-22 04:17:16
231,"jueves","sj-412","Ju 12:11:00 - 12:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
232,"jueves","sj-412","Ju 11:31:00 - 12:10:00",2023-09-22 04:17:16,2023-09-22 04:17:16
233,"jueves","sj-412","Ju 10:41:00 - 11:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
234,"lunes","sj-406","Lu 14:31:00 - 15:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
235,"lunes","sj-406","Lu 13:01:00 - 14:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
236,"lunes","sj-tmm-08","Lu 11:31:00 - 12:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
237,"lunes","sj-tmm-08","Lu 10:01:00 - 11:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
238,"lunes","sj-tmm-05","Lu 11:31:00 - 12:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
239,"lunes","sj-tmm-05","Lu 10:41:00 - 11:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
240,"lunes","sj-tmm-02","Lu 16:01:00 - 17:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
241,"lunes","sj-tmm-02","Lu 15:11:00 - 15:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
242,"sabado","sj-ltr","Sa 13:01:00 - 14:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
243,"miercoles","sj-ltr","Mi 20:31:00 - 21:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
244,"martes","sj-ltr","Ma 19:01:00 - 20:20:00",2023-09-22 04:17:16,2023-09-22 04:17:16
245,"jueves","sj-lccna","Ju 20:31:00 - 21:50:00",2023-09-22 04:17:16,2023-09-22 04:17:16
246,"martes","sj-lccna","Ma 20:31:00 - 21:50:00",2023-09-22 04:17:17,2023-09-22 04:17:17
247,"sabado","sj-lccna","Sa 13:01:00 - 14:20:00",2023-09-22 04:17:17,2023-09-22 04:17:17
